code,name,pre_per,roe,pro_margin,equity_ratio,fixed_net_cash_ratio,real_pbr,pre_pbr,pre_error,pbr_ratio
2914,本たばこ産業,17.7,4.8,10.3,45,-15.39687329614662,2.1,0.5735229087834914,1.5264770912165089,0.2731061470397578
6098,リクルートHD,30.4,19.7,11.8,61.8,18.321157594738704,6.8,5.196003951686833,1.6039960483131672,0.7641182281892401
6501,立製作所,23.7,10.5,9.9,44,-3.6079469090005256,2.9,2.5194389101471377,0.3805610898528622,0.8687720379817716
6758,ソニーG,20.8,11.9,10.7,22.7,-38.58848856927434,2.7,2.197070294959975,0.502929705040025,0.8137297388740649
7203,トヨタ自動車,8.1,13.8,11.9,37.9,-21.22191067964972,1,2.053175233246567,-1.053175233246567,2.053175233246567
8001,伊藤忠商事,11.1,15.3,4.6,38,-25.157450669553537,1.7,2.3732942745029577,-0.6732942745029578,1.3960554555899751
8035,東京エレクトロン,17.1,29.6,28.7,70.1,12.315169073957504,5.3,6.518231778622082,-1.2182317786220818,1.229855052570204
9432,本電信電話,11.4,12.6,14.4,33.2,-28.661269765596035,1.2,1.902772314755126,-0.7027723147551261,1.5856435956292718
9433,KDDI,14.9,12.4,16.7,31.5,-13.951116004413796,2,2.504434808740326,-0.5044348087403261,1.252217404370163
9434,ソフトバンク,20.3,18.5,14.4,16.2,-18.711051442393792,3.9,4.34405295608089,-0.4440529560808897,1.1138597323284332
9983,ファーストリテイリング,35.9,16.9,16.1,58.9,10.350340547412635,6.7,4.782281782406786,1.9177182175932144,0.7137734003592218
3382,セブン&アイ･HD,22.6,4.3,3.5,35.4,-21.81066915648372,1.4,0.6937160522221759,0.706283947777824,0.4955114658729828
4568,第一三共,23,18.2,17.6,47,-12.697247982491344,4.3,3.9931010370186586,0.3068989629813412,0.9286281481438742
4661,オリエンタルランド,45.7,12.7,25.3,67.9,6.825482561603202,5.3,4.228473062655157,1.071526937344843,0.7978251061613504
6201,豊田自動織機,20.9,5.3,5.4,52.2,-25.389480767813534,1,0.4037162474135058,0.5962837525864941,0.4037162474135058
6367,ダイキン工業,18.9,9.2,8.9,53.6,2.88164921505924,1.8,1.9151355564304224,-0.1151355564304223,1.0639641980169012
6503,三菱電機,17.2,8.2,7.1,61.9,4.784524944790203,1.5,1.4528864448797667,0.0471135551202333,0.9685909632531778
6702,富士通,14.4,12.6,7.5,49.8,-0.2168215064977837,3.2,2.4008780419683173,0.7991219580316828,0.7502743881150992
6857,アドバンテスト,26,31.8,29.3,59.3,26.257828871120687,9.2,8.114208362131354,1.0857916378686454,0.8819791697968864
6902,デンソー,10.4,8.4,7.2,61.3,1.9666092307692309,1.1,1.0483378146778914,0.0516621853221086,0.9530343769799012
7267,本田技研工業,7.2,8.5,6.8,41.7,-13.471482095929291,0.5,0.8808633667594716,-0.3808633667594716,1.7617267335189433
7751,キヤノン,12.6,5,6.2,54.7,4.030481283968675,1.3,0.5901268058465376,0.7098731941534624,0.4539436968050289
1925,大和ハウス工業,12.2,11.9,8.5,36.2,-30.21282395364264,1.3,1.6226321584538774,-0.3226321584538774,1.2481785834260597
4543,テルモ,33.5,7.6,15.2,74.8,0.1247851676610956,3,1.9557878114406768,1.0442121885593232,0.6519292704802256
4578,大塚HD,14.8,13,13.9,71.7,2.8961148925373625,1.5,2.2181045318655026,-0.7181045318655026,1.4787363545770018
5108,ブリヂストン,16.3,7.6,10,65.2,-0.9444018424335944,1.1,1.0819266474770994,0.0180733525229006,0.9835696795246358
6752,パナソニックHD,12.7,9,4.2,50.6,-6.535712381885073,0.8,1.2772617416559786,-0.4772617416559785,1.5965771770699733
6981,村田製作所,20.9,9.1,16,85.2,14.974139701749625,1.4,1.7559491284955029,-0.3559491284955027,1.2542493774967878
7269,スズキ,9.3,9,8.7,49.3,0.0810427085949732,1.2,1.3337045236326994,-0.1337045236326994,1.1114204363605829
