銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,ネットキャッシュ,ネットキャッシュ比率
2914,本たばこ産業,"7,968,851",17.7,2.1,4.30,"3,149,759",55.30,20.00,46.40,"323,461",10.30,"179,240",5.70,4.80,45.00,20.60,21.7,6.60,0.5,166.50,"8,370,732","1,084,567","568,982",65.9,"957,281",248.3,"907,700","2,373,398","1,726,788","522,010","3,848,727","3,766,623","642,221",7.67
4519,中外製薬,"14,185,201",,7.4,2.90,"1,170,611",71.00,38.20,9.40,"542,002",46.30,"387,317",33.10,20.30,89.10,,0.0,6.70,,727.50,"2,139,482","423,419","294,677",91.9,"233,090",250.7,"448,498","23,832",0,"944,550","1,907,222","1,907,222","423,419",19.79
6098,リクルートHD,"12,232,612",30.4,6.8,0.30,"3,416,492",57.50,15.70,44.50,"402,526",11.80,"353,654",10.40,19.70,61.80,6.90,1.6,5.50,0.1,203.50,"2,908,790","871,812","572,575",61.2,,,"58,041","338,888","200,746","674,810","1,808,714","1,798,917","671,066",23.07
6501,立製作所,"16,814,533",23.7,2.9,,"9,783,370",28.80,12.00,18.90,"971,606",9.90,"615,724",6.30,10.50,44.00,6.30,5.0,0.20,0.1,111.70,"13,284,813","866,242","3,496,340",130.4,"1,566,282",82.1,"1,341,537","1,345,551","837,298","28,944","6,031,417","5,847,091","28,944",0.22
6758,ソニーG,"22,485,988",20.8,2.7,,"11,260,037",28.20,12.20,19.10,"1,208,831",10.70,"970,573",8.60,11.90,22.70,5.80,9.3,2.50,0.3,68.20,"35,991,547","2,491,949",,,"1,389,047",62.7,"1,526,777","16,380,543","2,088,195","552,251","8,524,922","8,185,199","403,754",1.12
6861,キーエンス,"15,240,291",,4.9,0.60,"1,059,145",83.80,38.70,31.90,"549,775",51.90,"398,656",37.60,12.80,94.50,,0.0,8.00,,971.50,"3,289,224","579,051","320,312",110.4,"77,892",165.8,"76,924","12,631",0,"1,219,234","3,108,552","3,108,552","579,051",17.60
7011,三菱重工業,"9,372,702",39.1,4.0,0.80,"4,657,147",20.00,7.10,14.90,,,"222,023",4.80,9.50,34.20,,0.0,6.30,,120.10,"6,825,215","542,003","992,542",77.8,"1,176,272",115.2,"935,150","1,018,062",0,"589,972","2,467,169","2,336,538","542,003",7.94
7203,トヨタ自動車,"36,406,624",8.1,1.0,3.20,"45,095,325",25.50,9.30,8.90,"5,352,934",11.90,"4,944,933",11.00,13.80,37.90,41.80,108.7,70.60,1.1,121.50,"94,674,416","8,285,156","3,839,900",31.1,"4,480,884",48.7,"15,404,824","28,376,876","39,579,686","25,698,305","36,856,527","35,910,272","31,294,530",33.05
7974,任天堂,"14,390,108",53.3,5.3,0.90,"1,671,865",57.10,27.60,25.40,"528,941",31.60,"490,602",29.30,18.20,79.50,,0.0,15.00,,444.60,"3,386,868","1,445,828","182,860",39.9,"326,468",166.1,"112,783","72,395",0,"2,154,084","2,692,650","2,691,545","1,445,828",42.69
8001,伊藤忠商事,"9,984,067",11.1,1.7,2.80,"14,724,234",16.10,6.80,11.40,"683,915",4.60,"880,251",6.00,15.30,38.00,48.50,73.6,67.60,1.3,127.60,"15,134,264","549,573","2,835,461",70.3,"1,482,337",43.8,"2,231,398","4,356,968","7,345,345","6,748,348","6,290,712","5,755,072","6,795,772",44.90
8035,東京エレクトロン,"9,684,454",17.1,5.3,2.90,"2,431,568",47.10,23.90,18.50,"697,319",28.70,"544,133",22.40,29.60,70.10,,0.0,5.10,,265.60,"2,625,981","416,240",,,"749,124",212.7,"441,706","92,846",0,"496,238","1,855,209","1,839,929","416,240",15.85
8058,三菱商事,"10,503,497",15.0,1.1,4.20,"18,617,601",9.90,8.90,7.90,,,"950,709",5.10,10.10,43.60,40.10,82.0,65.30,0.9,148.80,"21,496,104","1,536,624","4,167,850",81.7,"1,763,496",38.4,"2,873,011","5,458,762","8,618,050","6,853,972","10,154,322","9,368,714","7,081,426",32.94
