,code,name,mkt_cap,PER,ROE,自己資本比率,固定ネットキャッシュ比率,PBR,予測PBR,PBR-Ratio
0,1414,ショーボンドHD,2489,16.9,14.1,82.0,17.82,2.4,1.7066076,0.7110864917437236
1,5911,横河ブリッジHD,1037,12.8,10.0,59.7,-6.83,0.8,1.1626688,1.4533360302448273
2,1821,三井住友建設,933,10.0,1.2,17.8,2.91,1.3,0.642216,0.4940123282946073
3,1871,ビーエス・コンストラクション,837,13.5,14.2,44.2,8.32,1.4,1.7964712,1.2831937415259227
4,3431,宮地エンジニアリングG,491,19.7,12.0,44.7,12.87,1.2,2.7954688,2.329557339350383
5,1786,オリエンタル白石,475,17.0,7.2,66.1,16.3,0.9,1.2940516,1.4378351635403104
6,5918,瀧上工業,147,24.6,0.5,67.4,-2.61,0.3,0.70017964,2.333932121594747
7,1726,ビーアールHD,146,11.2,8.5,35.7,-5.16,1.0,1.0707797,1.0707796812057495
8,1848,富士ピー･エス,80,10.4,17.8,32.6,4.15,0.7,2.1767056,3.109579426901681
9,5915,駒井ハルテック,74,9.99,4.0,45.9,-10.48,0.2,0.5817238,2.9086190462112427
10,1743,コーアツ工業,35,5.9,6.2,58.6,9.64,0.4,0.9408174,2.35204353928566
