,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
0,2914,本たばこ産業,7968851,17.7,2.1,4.3,3149759.0,55.3,20.0,46.4,323461.0,10.3,179240.0,5.7,4.8,45.0,20.6,21.7,6.6,0.5,166.5,8370732.0,1084567.0,568982.0,65.9,957281.0,248.3,907700.0,2373398.0,1726788.0,522010.0,3848727.0,3766623.0,479644,2.5,-1288831.0,-15.396873296146621,-642221.0,-7.672220302836121,10.843735052083856,28.353529894398722
2,6098,リクルートHD,12232612,30.4,6.8,0.3,3416492.0,57.5,15.7,44.5,402526.0,11.8,353654.0,10.4,19.7,61.8,6.9,1.6,5.5,0.1,203.5,2908790.0,871812.0,572575.0,61.2,,,58041.0,338888.0,200746.0,674810.0,1808714.0,1798917.0,465433,4.5,532924.0,18.321157594738704,671066.0,23.07028008209599,1.9953657706469012,11.650480096534984
3,6501,立製作所,16814533,23.7,2.9,0.0,9783370.0,28.8,12.0,18.9,971606.0,9.9,615724.0,6.3,10.5,44.0,6.3,5.0,0.2,0.1,111.7,13284813.0,866242.0,3496340.0,130.4,1566282.0,82.1,1341537.0,1345551.0,837298.0,28944.0,6031417.0,5847091.0,780592,,-479309.0,-3.6079469090005256,28944.0,0.21787284472878915,10.098275376552158,10.128490329521386
4,6758,ソニーG,22485988,20.8,2.7,0.0,11260037.0,28.2,12.2,19.1,1208831.0,10.7,970573.0,8.6,11.9,22.7,5.8,9.3,2.5,0.3,68.2,35991547.0,2491949.0,,,1389047.0,62.7,1526777.0,16380543.0,2088195.0,552251.0,8524922.0,8185199.0,749267,6.6,-13888594.0,-38.58848856927434,403754.0,1.1218022942998256,4.242043277550698,45.51219484952953
6,7011,三菱重工業,9372702,39.1,4.0,0.8,4657147.0,20.0,7.1,14.9,,,222023.0,4.8,9.5,34.2,0.0,0.0,6.3,,120.1,6825215.0,542003.0,992542.0,77.8,1176272.0,115.2,935150.0,1018062.0,0.0,589972.0,2467169.0,2336538.0,170700,3.8,-476059.0,-6.975003717831599,542003.0,7.941185735540931,13.701399882641061,14.91618945337253
7,7203,トヨタ自動車,36406624,8.1,1.0,3.2,45095325.0,25.5,9.3,8.9,5352934.0,11.9,4944933.0,11.0,13.8,37.9,41.8,108.7,70.6,1.1,121.5,94674416.0,8285156.0,3839900.0,31.1,4480884.0,48.7,15404824.0,28376876.0,39579686.0,25698305.0,36856527.0,35910272.0,2025639,2.7,-20091720.0,-21.221910679649717,-31294530.0,-33.05489626680137,16.271369447898152,29.97311966519022
9,8001,伊藤忠商事,9984067,11.1,1.7,2.8,14724234.0,16.1,6.8,11.4,683915.0,4.6,880251.0,6.0,15.3,38.0,48.5,73.6,67.6,1.3,127.6,15134264.0,549573.0,2835461.0,70.3,1482337.0,43.8,2231398.0,4356968.0,7345345.0,6748348.0,6290712.0,5755072.0,997278,,-3807395.0,-25.157450669553537,-6795772.0,-44.90322092967322,14.744013980461817,28.788766999174854
10,8035,東京エレクトロン,9684454,17.1,5.3,2.9,2431568.0,47.1,23.9,18.5,697319.0,28.7,544133.0,22.4,29.6,70.1,0.0,0.0,5.1,,265.6,2625981.0,416240.0,,,749124.0,212.7,441706.0,92846.0,0.0,496238.0,1855209.0,1839929.0,414135,,323394.0,12.315169073957504,416240.0,15.850838220078515,16.820609136166638,3.5356691461210112
11,8058,三菱商事,10503497,15.0,1.1,4.2,18617601.0,9.9,8.9,7.9,,,950709.0,5.1,10.1,43.6,40.1,82.0,65.3,0.9,148.8,21496104.0,1536624.0,4167850.0,81.7,1763496.0,38.4,2873011.0,5458762.0,8618050.0,6853972.0,10154322.0,9368714.0,1274057,,-3922138.0,-18.245808635834663,-7081426.0,-32.94283466436523,13.365263770588381,25.39419236155538
15,9432,本電信電話,12561557,11.4,1.2,3.4,13374569.0,,17.8,,1922910.0,14.4,1279521.0,9.6,12.6,33.2,3.6,8.9,9.3,0.1,97.2,30603365.0,1198183.0,4988338.0,136.1,579816.0,,10467753.0,9969496.0,1112956.0,1171075.0,11280299.0,10159405.0,290155,1.9,-8771313.0,-28.661269765596035,85227.0,0.2784889831559373,34.204581751059074,32.576469940478766
