銘柄コード,会社名,時価総額,PER(会予),PBR,売上高,売上総利益率,営業CF/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産,配当性向,投資CF / 営業CF（3年平均）,セクター数
2914,本たばこ産業,7968851,17.7,2.1,3149759,55.3,20,323461,10.3,179240,5.7,4.8,45,20.6,21.7,6.6,0.5,166.5,8370732,1084567,568982,65.9,957281,248.3,907700,2373398,1726788,522010,3848727,3766623,479644,2.5,-1288831,-15.3968733,-642221,-7.672220303,10.84373505,28.35352989,192.20,0.00,4
6098,リクルートHD,12232612,30.4,6.8,3416492,57.5,15.7,402526,11.8,353654,10.4,19.7,61.8,6.9,1.6,5.5,0.1,203.5,2908790,871812,572575,61.2,,,58041,338888,200746,674810,1808714,1798917,465433,4.5,532924,18.32115759,671066,23.07028008,1.995365771,11.6504801,8.80,-10.23,3
6501,立製作所,16814533,23.7,2.9,9783370,28.8,12,971606,9.9,615724,6.3,10.5,44,6.3,5,0.2,0.1,111.7,13284813,866242,3496340,130.4,1566282,82.1,1341537,1345551,837298,28944,6031417,5847091,780592,,-479309,-3.607946909,28944,0.2178728447,10.09827538,10.12849033,28.30,-18.58,4
6758,ソニーG,22485988,20.8,2.7,11260037,28.2,12.2,1208831,10.7,970573,8.6,11.9,22.7,5.8,9.3,2.5,0.3,68.2,35991547,2491949,,,1389047,62.7,1526777,16380543,2088195,552251,8524922,8185199,749267,6.6,-13888594,-38.58848857,403754,1.121802294,4.242043278,45.51219485,10.60,-70.00,6
7011,三菱重工業,9372702,39.1,4,4657147,20,7.1,,,222023,4.8,9.5,34.2,0,0,6.3,,120.1,6825215,542003,992542,77.8,1176272,115.2,935150,1018062,0,589972,2467169,2336538,170700,3.8,-476059,-6.975003718,542003,7.941185736,13.70139988,14.91618945,31.49,-38.65,4
7203,トヨタ自動車,36406624,8.1,1,45095325,25.5,9.3,5352934,11.9,4944933,11,13.8,37.9,41.8,108.7,70.6,1.1,121.5,94674416,8285156,3839900,31.1,4480884,48.7,15404824,28376876,39579686,25698305,36856527,35910272,2025639,2.7,-20091720,-21.22191068,-31294530,-33.05489627,16.27136945,29.97311967,25.00,-99.26,3
8001,伊藤忠商事,9984067,11.1,1.7,14724234,16.1,6.8,683915,4.6,880251,6,15.3,38,48.5,73.6,67.6,1.3,127.6,15134264,549573,2835461,70.3,1482337,43.8,2231398,4356968,7345345,6748348,6290712,5755072,997278,,-3807395,-25.15745067,-6795772,-44.90322093,14.74401398,28.788767,32.50,-40.37,7
8035,東京エレクトロン,9684454,17.1,5.3,2431568,47.1,23.9,697319,28.7,544133,22.4,29.6,70.1,0,0,5.1,,265.6,2625981,416240,,,749124,212.7,441706,92846,0,496238,1855209,1839929,414135,,323394,12.31516907,416240,15.85083822,16.82060914,3.535669146,50.10,-23.32,1
8058,三菱商事,10503497,15,1.1,18617601,9.9,8.9,,,950709,5.1,10.1,43.6,40.1,82,65.3,0.9,148.8,21496104,1536624,4167850,81.7,1763496,38.4,2873011,5458762,8618050,6853972,10154322,9368714,1274057,,-3922138,-18.24580864,-7081426,-32.94283466,13.36526377,25.39419236,42.20,-13.36,6
9432,本電信電話,12561557,11.4,1.2,13374569,,17.8,1922910,14.4,1279521,9.6,12.6,33.2,3.6,8.9,9.3,0.1,97.2,30603365,1198183,4988338,136.1,579816,,10467753,9969496,1112956,1171075,11280299,10159405,290155,1.9,-8771313,-28.66126977,85227,0.2784889832,34.20458175,32.57646994,43.50,-81.55,4
